                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                 1.1818,                0.55298,                0.83964,                0.95493,                0.90318,                0.93905,                 0.4678,                 1.6961,                0.67171,                0.90046,              0.0002179,              0.0002179,              0.0002179
                     81,                 1.1574,                0.53843,                 0.8347,                0.95683,                0.91275,                0.94588,                0.48344,                 1.6765,                 0.6691,                0.90109,               0.000208,               0.000208,               0.000208
                     82,                 1.1555,                0.54951,                0.83932,                0.96699,                0.91991,                0.95159,                0.49442,                  1.674,                0.66089,                0.90392,              0.0001981,              0.0001981,              0.0001981
                     83,                 1.1525,                0.53941,                0.83251,                0.96626,                0.93872,                 0.9588,                 0.4987,                 1.6353,                0.64396,                 0.8976,              0.0001882,              0.0001882,              0.0001882
                     84,                 1.1455,                0.54294,                0.83059,                0.95562,                0.94526,                0.95562,                 0.4988,                 1.6256,                0.64309,                0.89538,              0.0001783,              0.0001783,              0.0001783
                     85,                  1.109,                0.52803,                0.83177,                0.96591,                0.93498,                0.95895,                0.49277,                 1.6587,                0.65147,                0.89954,              0.0001684,              0.0001684,              0.0001684
                     86,                 1.1381,                0.53297,                0.82979,                0.96413,                0.92412,                0.95045,                0.49314,                 1.6323,                0.65113,                0.89901,              0.0001585,              0.0001585,              0.0001585
                     87,                 1.1413,                0.53406,                0.83202,                 0.9661,                 0.9196,                 0.9486,                0.49609,                 1.6251,                0.64614,                0.89795,              0.0001486,              0.0001486,              0.0001486
                     88,                 1.1255,                0.52006,                0.82595,                0.94459,                0.92058,                0.94942,                0.49531,                 1.6229,                0.65525,                0.89687,              0.0001387,              0.0001387,              0.0001387
                     89,                 1.0968,                0.51065,                0.82889,                0.96978,                0.91602,                0.95513,                0.49557,                 1.6376,                0.65084,                0.89869,              0.0001288,              0.0001288,              0.0001288
                     90,                  1.088,                0.51123,                0.83135,                0.96526,                0.92847,                0.95692,                0.50176,                 1.6182,                0.64185,                0.89544,              0.0001189,              0.0001189,              0.0001189
                     91,                 1.1363,                0.51482,                0.84288,                 0.9622,                0.94337,                0.96111,                0.52149,                  1.572,                 0.6287,                0.89256,               0.000109,               0.000109,               0.000109
                     92,                  1.099,                 0.5011,                0.84139,                0.95982,                0.93879,                0.95123,                0.50707,                 1.6111,                0.64257,                0.89641,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                 1.0634,                 0.4851,                0.83225,                0.96336,                0.93382,                0.95412,                0.50615,                 1.6073,                0.65063,                0.89728,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                 1.0672,                0.48604,                0.83877,                0.96253,                0.93074,                0.95415,                0.49909,                 1.6393,                0.64188,                0.90139,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                  1.048,                0.49207,                 0.8297,                0.96505,                0.92912,                0.95909,                0.50748,                  1.598,                0.63751,                0.89653,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                 1.0334,                0.47224,                0.82618,                0.97341,                0.92702,                0.95863,                0.50544,                 1.6029,                0.63327,                0.89817,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                 1.0509,                0.47807,                 0.8365,                0.97202,                0.92619,                0.95454,                0.49304,                 1.6359,                0.63856,                0.90121,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                  1.022,                0.47063,                0.82703,                0.96737,                0.93729,                0.95971,                0.50667,                 1.5944,                0.63766,                0.89549,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                 1.0103,                 0.4637,                0.83189,                0.96322,                0.93478,                0.95602,                0.50976,                 1.6009,                0.63456,                0.89629,               2.98e-05,               2.98e-05,               2.98e-05
                    100,                  1.018,                0.46557,                0.83566,                0.96767,                0.93061,                 0.9582,                 0.5062,                 1.6099,                 0.6349,                 0.8983,               1.99e-05,               1.99e-05,               1.99e-05
